Player,FGM,FGA,FTM,FTA,3PM,REB,AST,STL,BLK,TO,PTS,MIN,GP,Pos,Team,PosList
Edmond Sumner,2.8,5.3,1.3,1.6,0.7,1.8,0.9,0.6,0.2,1.0,7.5,16.2,53.0,SG,,['SG']
JJ Redick,2.4,6.1,1.1,1.2,1.5,1.5,1.2,0.3,0.1,0.8,7.4,16.4,44.0,SG,,['SG']
JJ Redick,2.8,6.9,1.5,1.5,1.6,1.7,1.3,0.3,0.1,0.8,8.7,18.6,31.0,SG,,['SG']
JJ Redick,1.5,4.1,0.3,0.4,1.2,0.9,0.8,0.2,0.1,0.8,4.4,11.3,13.0,SG,,['SG']
Jalen Harris,2.8,5.5,0.5,0.7,1.3,1.4,1.3,0.6,0.0,1.1,7.4,13.2,13.0,SG,,['SG']
Jalen McDaniels,2.8,6.0,1.0,1.4,0.7,3.6,1.1,0.6,0.4,1.0,7.4,19.2,47.0,SF,,['SF']
JaVale McGee,3.1,6.1,1.0,1.5,0.1,5.2,0.8,0.4,1.2,1.3,7.3,14.7,46.0,C,,['C']
JaVale McGee,3.4,6.5,1.1,1.7,0.2,5.2,1.0,0.5,1.2,1.4,8.0,15.2,33.0,C,,['C']
JaVale McGee,2.5,5.2,0.6,0.9,0.0,5.3,0.5,0.2,1.1,1.2,5.5,13.5,13.0,C,,['C']
Louis King,2.8,5.7,1.0,1.0,0.7,3.0,1.5,1.2,0.5,0.7,7.3,14.2,6.0,SF,,['SF']
Khem Birch,2.8,5.7,1.4,1.9,0.2,5.8,1.3,0.7,0.7,0.7,7.2,22.8,67.0,C,,['C']
Khem Birch,2.0,4.4,1.3,1.8,0.1,5.1,1.1,0.7,0.6,0.5,5.3,19.8,48.0,C,,['C']
Khem Birch,5.0,9.0,1.5,2.3,0.5,7.6,1.9,0.8,1.2,1.1,11.9,30.4,19.0,C,,['C']
James Johnson,2.9,6.4,0.9,1.5,0.6,3.5,1.9,0.8,0.8,1.1,7.2,20.5,51.0,PF,,['PF']
James Johnson,2.3,5.0,0.6,1.0,0.5,3.0,1.7,0.8,0.8,0.9,5.7,17.4,29.0,PF,,['PF']
James Johnson,3.6,8.3,1.3,2.1,0.7,4.1,2.2,0.8,0.9,1.3,9.2,24.5,22.0,PF,,['PF']
Justin Jackson,2.6,6.5,0.9,1.1,1.1,2.3,1.5,0.4,0.1,0.9,7.2,17.0,34.0,SF,,['SF']
Justin Jackson,2.6,6.4,0.9,1.1,1.0,2.2,1.5,0.5,0.1,0.9,7.2,16.5,33.0,SF,,['SF']
Justin Jackson,3.0,9.0,1.0,2.0,2.0,6.0,1.0,0.0,0.0,1.0,9.0,33.0,1.0,SF,,['SF']
Kent Bazemore,2.6,5.9,0.8,1.2,1.1,3.4,1.6,1.0,0.5,1.2,7.2,19.9,67.0,SF,,['SF']
Juancho HernangÃ³mez,2.5,5.8,1.2,1.9,1.1,3.9,0.7,0.4,0.1,0.5,7.2,17.3,52.0,PF,,['PF']
Aaron Holiday,2.6,6.6,1.0,1.3,1.0,1.3,1.9,0.7,0.2,1.0,7.2,17.8,66.0,PG,,['PG']
Tony Bradley,3.1,4.7,0.9,1.3,0.0,5.7,0.9,0.4,0.7,0.8,7.1,16.3,42.0,C,,['C']
Tony Bradley,2.6,3.8,0.4,0.6,0.0,5.2,0.9,0.3,0.7,0.3,5.5,14.4,20.0,C,,['C']
